enumerator_id,submission_id,gps_lat,gps_long,start_time,end_time,duration_minutes,consent,household_id,sync_status
E05,SUB0018,-1.292609,36.786155,2026-04-01 11:23,2026-04-01 11:35,12,No,HH001,Failed
E05,SUB0019,-1.328052,36.86291,2026-04-01 13:31,2026-04-01 14:05,34,Yes,HH079,Success
E02,SUB0020,-1.242199,36.864695,2026-04-01 08:59,2026-04-01 09:17,18,Yes,HH018,Success
E05,SUB0021,-1.264025,36.864685,2026-04-01 10:08,2026-04-01 10:19,11,Yes,HH156,Success
E04,SUB0022,-1.254473,36.838987,2026-04-01 11:36,2026-04-01 12:13,37,Yes,HH172,Success
E03,SUB0023,-1.278242,36.7821,2026-04-01 15:28,2026-04-01 16:28,60,Yes,HH151,Success
E05,SUB0024,-1.307978,36.777099,2026-04-01 11:55,2026-04-01 12:35,40,Yes,HH009,Success
E03,SUB0025,-1.3062,36.836898,2026-04-01 09:12,2026-04-01 09:47,35,Yes,HH147,Success
E05,SUB0026,-1.251538,36.85075,2026-04-01 16:04,2026-04-01 16:22,18,Yes,HH111,Success
E03,SUB0027,-1.283298,36.842908,2026-04-01 15:13,2026-04-01 15:42,29,Yes,HH026,Failed
E01,SUB0028,-1.29607,36.856167,2026-04-01 14:52,2026-04-01 15:41,49,Yes,HH115,Success
E02,SUB0029,-1.302145,36.794981,2026-04-01 15:12,2026-04-01 15:26,14,Yes,HH141,Success
E01,SUB0030,-1.230072,36.853603,2026-04-01 08:51,2026-04-01 09:35,44,No,HH061,Failed
E02,SUB0031,-1.281864,36.856465,2026-04-01 14:56,2026-04-01 15:30,34,Yes,HH001,Success
E04,SUB0032,-1.251487,36.798525,2026-04-01 12:31,2026-04-01 13:24,53,Yes,HH143,Success
E04,SUB0033,-1.300329,36.866871,2026-04-01 10:38,2026-04-01 10:53,15,Yes,HH192,Success
E03,SUB0034,-1.271582,36.820285,2026-04-01 08:58,2026-04-01 09:04,6,Yes,HH131,Success
E01,SUB0035,-1.270496,36.837521,2026-04-01 11:10,2026-04-01 11:17,7,Yes,HH146,Success
E02,SUB0036,-1.326026,36.778198,2026-04-01 17:52,2026-04-01 18:33,41,Yes,HH081,Success
E03,SUB0037,-1.258381,36.793869,2026-04-01 11:29,2026-04-01 12:14,45,Yes,HH077,Success
E04,SUB0038,-1.236427,36.770932,2026-04-01 13:23,2026-04-01 14:14,51,Yes,HH026,Success
E01,SUB0039,-1.279412,36.783246,2026-04-01 17:10,2026-04-01 17:26,16,Yes,HH063,Success
E03,SUB0040,-1.286182,36.824322,2026-04-01 12:51,2026-04-01 13:04,13,Yes,HH168,Failed
E05,SUB0041,-1.24829,36.799938,2026-04-01 08:08,2026-04-01 08:53,45,Yes,HH035,Failed
E03,SUB0042,-1.319296,36.825322,2026-04-01 09:58,2026-04-01 10:57,59,Yes,HH184,Success
E03,SUB0043,-1.266576,36.796398,2026-04-01 11:28,2026-04-01 12:14,46,Yes,HH014,Failed
E01,SUB0044,-1.302332,36.770355,2026-04-01 15:13,2026-04-01 16:09,56,Yes,HH068,Success
E02,SUB0045,-1.259433,36.826091,2026-04-01 15:32,2026-04-01 16:10,38,Yes,HH177,Failed
E02,SUB0046,-1.24654,36.828251,2026-04-01 17:18,2026-04-01 17:23,5,Yes,HH079,Success
E03,SUB0047,-1.294219,36.838207,2026-04-01 08:40,2026-04-01 09:40,60,Yes,HH144,Success
E04,SUB0048,-1.243539,36.867621,2026-04-01 10:38,2026-04-01 10:56,18,Yes,HH007,Success
E02,SUB0049,-1.236918,36.850224,2026-04-01 13:40,2026-04-01 14:33,53,Yes,HH069,Success
E02,SUB0050,-1.242783,36.855859,2026-04-01 09:50,2026-04-01 10:17,27,Yes,HH118,Success
E03,SUB0051,-1.250465,36.79276,2026-04-01 13:12,2026-04-01 14:07,55,Yes,HH085,Success
E03,SUB0052,-1.302088,36.834148,2026-04-01 09:11,2026-04-01 10:03,52,Yes,HH138,Failed
E03,SUB0053,-1.242296,36.796122,2026-04-01 08:28,2026-04-01 08:38,10,Yes,HH010,Failed
E01,SUB0054,-1.257145,36.801368,2026-04-01 15:24,2026-04-01 15:49,25,Yes,HH099,Success
E05,SUB0055,-1.325561,36.813606,2026-04-01 11:14,2026-04-01 11:33,19,Yes,HH176,Success
E02,SUB0056,-1.323003,36.836424,2026-04-01 14:12,2026-04-01 14:42,30,Yes,HH032,Success
E03,SUB0057,-1.263311,36.802618,2026-04-01 16:39,2026-04-01 17:01,22,Yes,HH050,Success
E04,SUB0058,-1.255187,36.787403,2026-04-01 14:28,2026-04-01 15:14,46,Yes,HH001,Success
E03,SUB0059,-1.287011,36.827998,2026-04-01 12:53,2026-04-01 13:09,16,Yes,HH114,Success
E02,SUB0060,-1.250626,36.865983,2026-04-01 16:43,2026-04-01 17:16,33,Yes,HH073,Success
E05,SUB0061,-1.248158,36.845114,2026-04-01 13:43,2026-04-01 13:51,8,Yes,HH051,Success
E02,SUB0062,-1.305516,36.817514,2026-04-01 08:25,2026-04-01 08:30,5,Yes,HH107,Success
E05,SUB0063,-1.260365,36.819438,2026-04-01 11:19,2026-04-01 12:07,48,Yes,HH002,Success
E01,SUB0064,-1.312411,36.865797,2026-04-01 15:15,2026-04-01 15:32,17,Yes,HH064,Success
E01,SUB0065,-1.249858,36.836758,2026-04-01 15:47,2026-04-01 15:58,11,No,HH194,Success
E04,SUB0066,-1.246943,36.824787,2026-04-01 16:36,2026-04-01 17:06,30,Yes,HH122,Success
E04,SUB0067,-1.305276,36.833766,2026-04-01 12:25,2026-04-01 13:16,51,Yes,HH161,Success
E02,SUB0068,-1.322252,36.798573,2026-04-01 12:41,2026-04-01 13:12,31,Yes,HH139,Success
E01,SUB0069,-1.306874,36.839395,2026-04-01 10:21,2026-04-01 10:33,12,Yes,HH105,Success
E03,SUB0070,-1.288423,36.790683,2026-04-01 17:15,2026-04-01 17:47,32,Yes,HH150,Failed
E01,SUB0071,-1.282302,36.864274,2026-04-01 17:49,2026-04-01 18:16,27,Yes,HH108,Success
E05,SUB0072,-1.269675,36.792054,2026-04-01 17:19,2026-04-01 18:13,54,Yes,HH008,Success
E04,SUB0073,-1.262086,36.810432,2026-04-01 13:44,2026-04-01 14:29,45,Yes,HH033,Success
E05,SUB0074,-1.239307,36.829189,2026-04-01 17:06,2026-04-01 17:10,4,Yes,HH110,Success
E02,SUB0075,-1.324972,36.80791,2026-04-01 15:52,2026-04-01 16:06,14,Yes,HH195,Success
E04,SUB0076,-1.23488,36.812156,2026-04-01 12:44,2026-04-01 13:35,51,Yes,HH192,Success
E05,SUB0077,-1.307578,36.776862,2026-04-01 08:53,2026-04-01 09:18,25,No,HH008,Success
E02,SUB0078,-1.327962,36.785238,2026-04-01 11:24,2026-04-01 12:20,56,Yes,HH145,Success
E02,SUB0079,-1.304376,36.80689,2026-04-01 15:56,2026-04-01 16:43,47,Yes,HH184,Failed
E01,SUB0080,-1.31919,36.772568,2026-04-01 10:47,2026-04-01 11:09,22,Yes,HH097,Success
E04,SUB0081,-1.27079,36.853057,2026-04-01 11:23,2026-04-01 11:30,7,Yes,HH078,Success
E05,SUB0082,-1.231616,36.848264,2026-04-01 10:03,2026-04-01 10:56,53,Yes,HH095,Success
E01,SUB0083,-1.295877,36.854958,2026-04-01 16:38,2026-04-01 17:22,44,Yes,HH093,Success
E04,SUB0084,-1.312386,36.822175,2026-04-01 10:36,2026-04-01 11:06,30,Yes,HH138,Success
E04,SUB0085,-1.247427,36.829247,2026-04-01 15:56,2026-04-01 16:26,30,Yes,HH023,Success
E03,SUB0086,-1.254952,36.826985,2026-04-01 15:41,2026-04-01 15:59,18,Yes,HH127,Success
E03,SUB0087,-1.308788,36.849783,2026-04-01 11:06,2026-04-01 11:40,34,Yes,HH180,Success
E03,SUB0088,-1.278337,36.789106,2026-04-01 17:29,2026-04-01 17:32,3,Yes,HH143,Success
E02,SUB0089,-1.258816,36.814817,2026-04-01 16:07,2026-04-01 16:51,44,Yes,HH104,Success
E02,SUB0090,-1.271844,36.817326,2026-04-01 13:13,2026-04-01 13:58,45,Yes,HH191,Success
E05,SUB0091,-1.259715,36.797092,2026-04-01 13:38,2026-04-01 14:03,25,Yes,HH050,Success
E03,SUB0092,-1.276414,36.846219,2026-04-01 10:02,2026-04-01 10:52,50,Yes,HH124,Success
E03,SUB0093,-1.3017,36.780053,2026-04-01 16:57,2026-04-01 17:38,41,Yes,HH046,Success
E03,SUB0094,-1.276586,36.797431,2026-04-01 08:14,2026-04-01 09:02,48,No,HH179,Success
E02,SUB0095,-1.242728,36.827406,2026-04-01 16:22,2026-04-01 16:31,9,Yes,HH048,Success
E01,SUB0096,-1.282227,36.852212,2026-04-01 12:18,2026-04-01 13:16,58,Yes,HH162,Success
E01,SUB0097,-1.248886,36.864913,2026-04-01 10:35,2026-04-01 10:47,12,Yes,HH143,Success
E04,SUB0098,-1.277743,36.815051,2026-04-01 11:51,2026-04-01 12:43,52,Yes,HH110,Success
E03,SUB0099,-1.323977,36.866011,2026-04-01 17:42,2026-04-01 18:24,42,Yes,HH161,Success
E02,SUB0100,-1.321881,36.793987,2026-04-01 12:30,2026-04-01 13:15,45,Yes,HH105,Success
E04,SUB0101,-1.326736,36.79881,2026-04-01 16:01,2026-04-01 16:22,21,Yes,HH019,Success
E02,SUB0102,-1.250875,36.828979,2026-04-01 12:30,2026-04-01 13:23,53,Yes,HH030,Success
E05,SUB0103,-1.315101,36.796563,2026-04-01 11:50,2026-04-01 12:34,44,Yes,HH079,Success
E05,SUB0104,-1.286085,36.81687,2026-04-01 17:42,2026-04-01 18:03,21,Yes,HH070,Success
E05,SUB0105,-1.286224,36.829804,2026-04-01 17:12,2026-04-01 17:46,34,Yes,HH155,Success
E03,SUB0106,-1.307108,36.83743,2026-04-01 08:26,2026-04-01 08:34,8,Yes,HH006,Success
E03,SUB0107,-1.253689,36.787519,2026-04-01 17:50,2026-04-01 17:55,5,Yes,HH072,Success
E02,SUB0108,-1.266522,36.819173,2026-04-01 17:59,2026-04-01 18:29,30,Yes,HH086,Success
E03,SUB0109,-1.313918,36.811165,2026-04-01 09:47,2026-04-01 10:44,57,Yes,HH103,Success
E05,SUB0110,-1.321194,36.79524,2026-04-01 08:37,2026-04-01 09:09,32,Yes,HH132,Success
E01,SUB0111,-1.288675,36.788758,2026-04-01 17:15,2026-04-01 17:47,32,Yes,HH161,Success
E04,SUB0112,-1.303294,36.783101,2026-04-01 08:52,2026-04-01 09:08,16,Yes,HH125,Success
E01,SUB0113,-1.269113,36.79393,2026-04-01 08:29,2026-04-01 09:12,43,Yes,HH142,Success
E04,SUB0114,-1.230774,36.861293,2026-04-01 09:35,2026-04-01 09:52,17,Yes,HH040,Success
E04,SUB0115,-1.259459,36.811549,2026-04-01 12:58,2026-04-01 13:33,35,Yes,HH117,Success
E05,SUB0116,-1.310939,36.829938,2026-04-01 10:28,2026-04-01 10:55,27,Yes,HH018,Success
E03,SUB0117,-1.236575,36.820774,2026-04-01 15:04,2026-04-01 15:28,24,Yes,HH077,Success
E05,SUB0118,-1.281036,36.78486,2026-04-01 17:53,2026-04-01 18:38,45,Yes,HH142,Success
E05,SUB0119,-1.236715,36.85696,2026-04-01 14:26,2026-04-01 14:58,32,No,HH099,Success
E02,SUB0120,-1.298182,36.817298,2026-04-01 15:00,2026-04-01 15:05,5,Yes,HH170,Success
E02,SUB0121,-1.317375,36.866535,2026-04-01 16:27,2026-04-01 16:32,5,Yes,HH113,Success
E01,SUB0122,-1.328465,36.784416,2026-04-01 16:58,2026-04-01 17:30,32,Yes,HH020,Failed
E04,SUB0123,-1.267674,36.809748,2026-04-01 12:31,2026-04-01 12:55,24,Yes,HH173,Success
E05,SUB0124,-1.26732,36.858744,2026-04-01 14:29,2026-04-01 14:52,23,Yes,HH159,Success
E01,SUB0125,-1.26156,36.798738,2026-04-01 12:00,2026-04-01 12:43,43,Yes,HH026,Success
E01,SUB0126,-1.2606,36.860342,2026-04-01 15:34,2026-04-01 15:47,13,Yes,HH076,Success
E03,SUB0127,-1.315443,36.823117,2026-04-01 14:23,2026-04-01 14:53,30,Yes,HH044,Success
E02,SUB0128,-1.242916,36.831971,2026-04-01 09:20,2026-04-01 10:02,42,Yes,HH037,Failed
E02,SUB0129,-1.304602,36.795533,2026-04-01 15:52,2026-04-01 16:35,43,Yes,HH074,Success
E05,SUB0130,-1.285827,36.804557,2026-04-01 10:41,2026-04-01 10:48,7,Yes,HH109,Success
E03,SUB0131,-1.299788,36.869937,2026-04-01 15:47,2026-04-01 16:44,57,Yes,HH098,Success
E05,SUB0132,-1.300413,36.839928,2026-04-01 14:07,2026-04-01 14:46,39,Yes,HH102,Success
E03,SUB0133,-1.243493,36.847831,2026-04-01 08:08,2026-04-01 08:47,39,No,HH191,Failed
E04,SUB0134,-1.250114,36.830706,2026-04-01 12:53,2026-04-01 13:45,52,Yes,HH159,Success
E03,SUB0135,-1.320284,36.832746,2026-04-01 10:20,2026-04-01 11:03,43,Yes,HH009,Success
E05,SUB0136,-1.316859,36.860963,2026-04-01 14:13,2026-04-01 15:02,49,Yes,HH052,Success
E02,SUB0137,-1.232851,36.823085,2026-04-01 17:12,2026-04-01 18:11,59,Yes,HH066,Success
E04,SUB0138,-1.24296,36.850423,2026-04-01 13:02,2026-04-01 13:52,50,Yes,HH194,Success
E02,SUB0139,-1.249541,36.806578,2026-04-01 14:46,2026-04-01 15:43,57,Yes,HH138,Success
E01,SUB0140,-1.262717,36.837234,2026-04-01 15:45,2026-04-01 16:11,26,Yes,HH096,Success
E01,SUB0141,-1.327498,36.858423,2026-04-01 11:59,2026-04-01 12:32,33,Yes,HH057,Failed
E01,SUB0142,-1.299781,36.81083,2026-04-01 15:55,2026-04-01 16:42,47,Yes,HH078,Failed
E04,SUB0143,-1.30652,36.823755,2026-04-01 09:58,2026-04-01 10:07,9,Yes,HH191,Success
E05,SUB0144,-1.255773,36.785452,2026-04-01 15:09,2026-04-01 15:49,40,Yes,HH126,Success
E05,SUB0145,-1.326728,36.807053,2026-04-01 14:57,2026-04-01 15:17,20,Yes,HH093,Failed
E01,SUB0146,-1.23983,36.834483,2026-04-01 14:16,2026-04-01 14:53,37,Yes,HH032,Success
E04,SUB0147,-1.308789,36.833949,2026-04-01 09:33,2026-04-01 10:18,45,No,HH086,Success
E02,SUB0148,-1.273542,36.776861,2026-04-01 10:08,2026-04-01 11:01,53,Yes,HH056,Success
E02,SUB0149,-1.315245,36.860053,2026-04-01 13:36,2026-04-01 14:28,52,Yes,HH038,Success
E02,SUB0150,-1.250149,36.780993,2026-04-01 17:13,2026-04-01 17:32,19,Yes,HH092,Success
E02,SUB0151,-1.312575,36.77524,2026-04-01 13:31,2026-04-01 13:35,4,Yes,HH191,Success
E01,SUB0152,-1.252198,36.821324,2026-04-01 16:07,2026-04-01 16:38,31,Yes,HH158,Success
E01,SUB0153,-1.284196,36.866403,2026-04-01 16:53,2026-04-01 17:15,22,Yes,HH103,Success
E04,SUB0154,-1.25876,36.814356,2026-04-01 09:50,2026-04-01 10:24,34,Yes,HH038,Success
E01,SUB0155,-1.267568,36.828536,2026-04-01 10:09,2026-04-01 10:29,20,Yes,HH153,Success
E05,SUB0156,-1.279445,36.81302,2026-04-01 13:01,2026-04-01 13:33,32,Yes,HH168,Success
E05,SUB0157,-1.284845,36.792849,2026-04-01 11:40,2026-04-01 12:10,30,Yes,HH107,Success
E01,SUB0158,-1.298748,36.795489,2026-04-01 13:20,2026-04-01 13:50,30,No,HH122,Success
E01,SUB0159,-1.321464,36.813188,2026-04-01 09:33,2026-04-01 10:29,56,Yes,HH034,Success
E05,SUB0160,-1.234338,36.826168,2026-04-01 09:01,2026-04-01 09:41,40,Yes,HH171,Success
E04,SUB0161,-1.269959,36.805165,2026-04-01 08:52,2026-04-01 09:13,21,Yes,HH169,Success
E04,SUB0162,-1.319178,36.854537,2026-04-01 11:49,2026-04-01 12:46,57,Yes,HH147,Success
E02,SUB0163,-1.273903,36.846743,2026-04-01 15:19,2026-04-01 16:16,57,Yes,HH143,Success
E01,SUB0164,-1.311958,36.84027,2026-04-01 12:33,2026-04-01 12:37,4,Yes,HH002,Success
E02,SUB0165,-1.264266,36.776959,2026-04-01 10:26,2026-04-01 11:05,39,Yes,HH024,Failed
E05,SUB0166,-1.288017,36.80409,2026-04-01 11:40,2026-04-01 12:07,27,Yes,HH199,Success
E05,SUB0167,-1.324739,36.785741,2026-04-01 09:26,2026-04-01 10:25,59,Yes,HH070,Success
E04,SUB0168,-1.269292,36.811418,2026-04-01 15:14,2026-04-01 15:48,34,Yes,HH089,Success
E04,SUB0169,-1.262178,36.829313,2026-04-01 09:53,2026-04-01 10:14,21,Yes,HH057,Success
E04,SUB0170,-1.309558,36.864532,2026-04-01 08:56,2026-04-01 08:59,3,Yes,HH075,Success
E03,SUB0171,-1.280261,36.813066,2026-04-01 10:02,2026-04-01 10:05,3,Yes,HH059,Success
E05,SUB0172,-1.263195,36.805417,2026-04-01 17:32,2026-04-01 18:28,56,Yes,HH112,Success
E01,SUB0173,-1.243789,36.827576,2026-04-01 15:50,2026-04-01 15:57,7,Yes,HH107,Success
E03,SUB0174,-1.327914,36.802477,2026-04-01 09:57,2026-04-01 10:25,28,Yes,HH177,Success
E03,SUB0175,-1.245552,36.794332,2026-04-01 09:30,2026-04-01 10:00,30,Yes,HH102,Success
E03,SUB0176,-1.296693,36.786813,2026-04-01 13:47,2026-04-01 14:04,17,Yes,HH131,Success
E02,SUB0177,-1.257262,36.851895,2026-04-01 13:57,2026-04-01 14:22,25,Yes,HH038,Success
E03,SUB0178,-1.26976,36.846022,2026-04-01 11:22,2026-04-01 11:36,14,Yes,HH198,Success
E04,SUB0179,-1.273626,36.827947,2026-04-01 15:55,2026-04-01 16:46,51,Yes,HH165,Success
E05,SUB0180,-1.232903,36.801614,2026-04-01 13:30,2026-04-01 14:28,58,Yes,HH162,Success
E03,SUB0181,-1.324383,36.820734,2026-04-01 12:41,2026-04-01 13:21,40,Yes,HH015,Success
E03,SUB0182,-1.265533,36.867737,2026-04-01 12:53,2026-04-01 13:00,7,Yes,HH099,Success
E04,SUB0183,-1.234577,36.843892,2026-04-01 17:54,2026-04-01 18:32,38,Yes,HH147,Failed
E02,SUB0184,-1.282437,36.785086,2026-04-01 13:29,2026-04-01 14:10,41,Yes,HH088,Success
E01,SUB0185,-1.312744,36.794774,2026-04-01 16:36,2026-04-01 17:20,44,Yes,HH134,Success
E05,SUB0186,-1.292715,36.798289,2026-04-01 10:42,2026-04-01 11:08,26,Yes,HH154,Success
E01,SUB0187,-1.297031,36.825796,2026-04-01 13:42,2026-04-01 13:49,7,Yes,HH169,Success
E05,SUB0188,-1.32185,36.836361,2026-04-01 10:33,2026-04-01 10:57,24,Yes,HH168,Success
E04,SUB0189,-1.259117,36.778472,2026-04-01 10:12,2026-04-01 10:53,41,Yes,HH085,Success
E02,SUB0190,-1.265398,36.812341,2026-04-01 16:59,2026-04-01 17:07,8,Yes,HH047,Success
E02,SUB0191,-1.281373,36.792654,2026-04-01 13:49,2026-04-01 14:41,52,Yes,HH026,Success
E05,SUB0192,-1.256136,36.822653,2026-04-01 17:12,2026-04-01 18:08,56,Yes,HH159,Success
E02,SUB0193,-1.313775,36.853135,2026-04-01 14:25,2026-04-01 14:37,12,Yes,HH043,Success
E04,SUB0194,-1.29357,36.841959,2026-04-01 08:44,2026-04-01 09:13,29,No,HH193,Success
E04,SUB0195,-1.306083,36.86656,2026-04-01 11:59,2026-04-01 12:36,37,Yes,HH050,Failed
E03,SUB0196,-1.283832,36.798177,2026-04-01 17:44,2026-04-01 18:15,31,Yes,HH042,Success
E02,SUB0197,-1.305,36.834118,2026-04-01 10:21,2026-04-01 11:19,58,Yes,HH027,Success
E05,SUB0198,-1.321612,36.786031,2026-04-01 10:07,2026-04-01 10:28,21,Yes,HH112,Success
E01,SUB0199,-1.284887,36.804959,2026-04-01 11:47,2026-04-01 12:42,55,Yes,HH129,Success
E03,SUB0200,-1.230547,36.807491,2026-04-01 12:01,2026-04-01 12:28,27,Yes,HH183,Failed
E03,SUB0201,-1.32617,36.86174,2026-04-01 10:29,2026-04-01 10:40,11,Yes,HH195,Success
E04,SUB0202,-1.329475,36.777923,2026-04-01 15:39,2026-04-01 16:21,42,Yes,HH141,Success
E05,SUB0203,-1.318881,36.79881,2026-04-01 17:00,2026-04-01 17:30,30,Yes,HH108,Success
E05,SUB0204,-1.318914,36.860515,2026-04-01 15:48,2026-04-01 15:55,7,Yes,HH132,Success
E05,SUB0205,-1.315642,36.812924,2026-04-01 12:07,2026-04-01 12:55,48,Yes,HH107,Success
E02,SUB0206,-1.232535,36.776768,2026-04-01 09:27,2026-04-01 10:03,36,Yes,HH130,Success
E05,SUB0207,-1.242667,36.774353,2026-04-01 08:20,2026-04-01 08:47,27,Yes,HH192,Success
E01,SUB0208,-1.323244,36.794113,2026-04-01 14:05,2026-04-01 14:58,53,Yes,HH149,Success
E03,SUB0209,-1.29477,36.803855,2026-04-01 10:16,2026-04-01 10:21,5,Yes,HH176,Success
E04,SUB0210,-1.311772,36.783485,2026-04-01 16:10,2026-04-01 16:53,43,Yes,HH010,Failed
E03,SUB0211,-1.250889,36.858579,2026-04-01 11:26,2026-04-01 11:31,5,Yes,HH102,Success
E05,SUB0212,-1.326338,36.83469,2026-04-01 16:04,2026-04-01 16:23,19,Yes,HH013,Success
E03,SUB0213,-1.250066,36.813695,2026-04-01 12:39,2026-04-01 12:49,10,Yes,HH099,Success
E03,SUB0214,-1.260793,36.806735,2026-04-01 11:11,2026-04-01 11:45,34,Yes,HH022,Success
E04,SUB0215,-1.269755,36.852234,2026-04-01 09:20,2026-04-01 09:50,30,Yes,HH021,Success
E03,SUB0216,-1.285408,36.841766,2026-04-01 13:02,2026-04-01 13:24,22,Yes,HH115,Success
E01,SUB0217,-1.230185,36.797456,2026-04-01 14:01,2026-04-01 14:43,42,No,HH020,Failed
E04,SUB0218,-1.24989,36.837941,2026-04-01 14:12,2026-04-01 14:47,35,No,HH156,Success
E04,SUB0219,-1.323277,36.847852,2026-04-01 08:35,2026-04-01 08:46,11,Yes,HH146,Success
E01,SUB0220,-1.285008,36.807096,2026-04-01 10:37,2026-04-01 11:23,46,Yes,HH036,Success
E05,SUB0221,-1.298561,36.797869,2026-04-01 14:15,2026-04-01 14:43,28,No,HH048,Success
E04,SUB0222,-1.238646,36.781776,2026-04-01 16:50,2026-04-01 17:17,27,Yes,HH055,Success
E05,SUB0223,-1.238352,36.81912,2026-04-01 12:52,2026-04-01 13:39,47,Yes,HH116,Success
E02,SUB0224,-1.248949,36.866756,2026-04-01 15:35,2026-04-01 15:43,8,No,HH182,Success
E01,SUB0225,-1.300964,36.799996,2026-04-01 17:23,2026-04-01 18:00,37,Yes,HH180,Success
E02,SUB0226,-1.307576,36.868513,2026-04-01 14:10,2026-04-01 14:45,35,Yes,HH127,Success
E01,SUB0227,-1.272772,36.816741,2026-04-01 14:09,2026-04-01 14:47,38,No,HH023,Success
E01,SUB0228,-1.23004,36.841887,2026-04-01 13:16,2026-04-01 13:44,28,Yes,HH148,Success
E01,SUB0229,-1.265766,36.814997,2026-04-01 10:08,2026-04-01 10:31,23,Yes,HH200,Success
E05,SUB0230,-1.233374,36.813262,2026-04-01 11:06,2026-04-01 11:58,52,Yes,HH032,Success
E05,SUB0231,-1.313534,36.802266,2026-04-01 10:36,2026-04-01 10:58,22,Yes,HH133,Success
E03,SUB0232,-1.31037,36.865635,2026-04-01 09:20,2026-04-01 09:39,19,Yes,HH158,Success
E05,SUB0233,-1.265901,36.829181,2026-04-01 09:35,2026-04-01 10:10,35,Yes,HH160,Success
E05,SUB0234,-1.237607,36.774119,2026-04-01 13:45,2026-04-01 14:41,56,Yes,HH165,Success
E05,SUB0235,-1.308919,36.827214,2026-04-01 12:31,2026-04-01 13:15,44,Yes,HH161,Success
E05,SUB0236,-1.234335,36.818294,2026-04-01 12:56,2026-04-01 13:40,44,Yes,HH077,Success
E04,SUB0237,-1.324009,36.813961,2026-04-01 09:14,2026-04-01 10:01,47,Yes,HH156,Success
E02,SUB0238,-1.258164,36.84342,2026-04-01 13:20,2026-04-01 14:18,58,Yes,HH034,Failed
E03,SUB0239,-1.319382,36.794174,2026-04-01 16:47,2026-04-01 17:25,38,Yes,HH037,Success
E01,SUB0240,-1.235462,36.856416,2026-04-01 08:51,2026-04-01 09:12,21,Yes,HH041,Failed
E03,SUB0241,-1.298729,36.846312,2026-04-01 17:51,2026-04-01 18:40,49,Yes,HH128,Success
E03,SUB0242,-1.320995,36.809324,2026-04-01 16:29,2026-04-01 16:33,4,Yes,HH150,Success
E03,SUB0243,-1.301864,36.829752,2026-04-01 08:49,2026-04-01 08:55,6,Yes,HH074,Success
E05,SUB0244,-1.31925,36.783393,2026-04-01 08:08,2026-04-01 09:05,57,Yes,HH104,Success
E03,SUB0245,-1.324884,36.826182,2026-04-01 08:46,2026-04-01 09:14,28,Yes,HH099,Success
E05,SUB0246,-1.275014,36.852531,2026-04-01 15:41,2026-04-01 16:32,51,Yes,HH033,Success
E01,SUB0247,-1.25051,36.803909,2026-04-01 14:43,2026-04-01 15:09,26,Yes,HH051,Success
E05,SUB0248,-1.279992,36.77453,2026-04-01 16:41,2026-04-01 17:09,28,Yes,HH122,Success
E05,SUB0249,-1.269374,36.821551,2026-04-01 15:47,2026-04-01 15:59,12,Yes,HH042,Success
E04,SUB0250,-1.296363,36.852829,2026-04-01 13:06,2026-04-01 13:46,40,Yes,HH077,Success
E04,SUB0251,-1.296876,36.78096,2026-04-01 08:17,2026-04-01 08:43,26,Yes,HH186,Success
E01,SUB0252,-1.233293,36.84829,2026-04-01 16:05,2026-04-01 16:24,19,Yes,HH185,Success
